item,vendor_name,item_description,export_control_risk,sn_control,key_item,hazardcategory,hazardclassvalue,batterycount,sn,sn_availabled,spn,freeze_reason,reserved_name,state,c_material,wd_material_or_not,mg_material_or_not,inventory_time,storage_days,export_control_status,original_sn,product_line,sub_product_line,product,order_line,warehouse_code,warehouse_name,warehouse_address,subinv_group_code,subinv_group_name,subinv_code,inventory_qty,available_qty,fronze_qty,reserved_qty,unit,rev,version,computing_software_version,original_manufacturer,item_model,production_batch_no,production_date,rohs_compliance,quality_category,first_inbound_date,storage_days_start_date
03030HAL,HUAWEI,"OptiX OSN 6800,TN11DCU04,Dispersion Compensation Unit(D,80km,for G.652)",,Y,Y,Normal Cargo,,0,030HALD0B9000038,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 9800 UPS,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030GYT,HUAWEI,"OptiX OSN 6800,TN12FIU01,Fiber Interface Board",,Y,Y,Normal Cargo,,0,030GYTD0B9000118,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03031EQH,HUAWEI,"Finished Board,OptiX OSN 8800,TN58NS4T51,100Gbit/s Line Service Processing Board(SLH,SDFEC2,Coherent,Tunable,50GHz,LC)",,Y,Y,Normal Cargo,,0,031EQH10HC000329,Y,,,,Good Parts,,No,No,1751 days 11:39:51,1752.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,1,1,0,0,PCS,,,,,,,,,,2020-07-01 11:45:06,2020-07-01 11:45:06
24010019,HUAWEI,"Original Battery,Li&Mn Battery,3V,0.225Ah,Round,20mm*3.2mm",Default,N,N,DG,88.0,0,,,,,,Good Parts,,No,No,,,,,Computing,Kunpeng Computing,OSTA2.0,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GMTIB,France_LILLE _HWCBG_LSP_TIBCO_SPMS Good Subinv,LILL-GMTIB,3,3,0,0,PCS,,,,,,,,,,,
02120586,HUAWEI,"OptiX OSN 8800 T16,TN1E6FAN,Fan Box",,Y,N,Normal Cargo,,0,2102120586N0B9000089,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030LKR,HUAWEI,"OptiX OSN 6800,TN12OAU103,C-BAND Optical Amplifier Unit(MAX -4dBm IN and 20dBm OUT,Gain 24~36dB)",,Y,N,Normal Cargo,,0,030LKR10B9000132,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,MSTP,OptiX OSN 9560,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03030HAH,HUAWEI,"OptiX OSN 6800,TN11DCU01,Dispersion Compensation Unit(A,20km,for G.652)",,Y,N,Normal Cargo,,0,030HAH10AC000258,Y,,,,Good Parts,,No,No,2316 days 00:13:19,2317.0,,,Optical Business,WDM,OptiX OSN 9800 UPS,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2018-12-14 23:11:38,2018-12-14 23:11:38
03030LML,HUAWEI,"OptiX OSN 6800,TN12OAU105,C-BAND Optical Amplifier Unit(MAX 0dBm IN and 23dBm OUT,Gain 23~34dB)",,Y,N,Normal Cargo,,0,030LML10B9000223,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03020WQS,HUAWEI,"OptiX OSN 8800T16,TN16ATE,Interface Board of Alarm & Timing & Expanding-1*1",,Y,N,Normal Cargo,,0,020WQS10B4000225,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03020VBF,HUAWEI,"OptiX OSN 8800,TN11ST2,Bidirectional optical supervisory channel and timing transmission unit,1*1",,Y,N,Normal Cargo,,0,020VBF10B9000620,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 8800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
03020WGE,HUAWEI,"OSN 8800T16,TN16AUX,System Auxiliary Interface Board,1*1",,Y,N,Normal Cargo,,0,020WGE10B9000102,Y,,,,Good Parts,,No,No,2956 days 05:09:31,2957.0,,,Optical Business,WDM,OptiX OSN 6800,,FRLILL-TIB,France_HWFR_LILL_FSL_TIB,TIBCO TELECOMS Bâtiment building international 68 RUE LOUIS JOSEPH GAY-LUSSAC ZAC DE LA GARE D'EAU 62220 CARVIN--Carvin-France,LILL-GHBT,France_BT_ASSET holdup_HWCBG_LSP_Tibco_Good Subinv,LILL-GHBT,1,1,0,0,PCS,,,,,,,,,,2017-03-14 18:15:26,2017-03-14 18:15:26
